所在地,URL,店舗名,住所,電話番号
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27141/13456,グラン：ルーシーダットン専門教室,〒590-0947 大阪府堺市堺区熊野町西3-2-14 松見ビル２階,080-1514-0003
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27146/13476,Bhati Yoga Studio,〒591-8023 大阪府堺市北区中百舌鳥町梅町３丁４−４ 興亜ビル２F ダンススタジオTAMTAM,090-6600-9316
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27109/13458,BRICKS STUDIO(DANCE&YOGA),〒543-0042 大阪府大阪市天王寺区烏ケ辻2‐2‐2 千石ビル２F,06-7176-2759
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27106/13495,ヘルシーヨガ,〒554-0013 大阪府大阪市西区新町 西六会館,06-6534-0874
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27142/13472,スタジオヴァリエ,〒599-8272 大阪府堺市中区深井中町529-2,090-6555-0173
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27203/13602,シバナンダヨガ本部教室,〒561-0846 大阪府豊中市利倉東1-1-4-111 ディオフェルティ豊中服部,06-6863-3823
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27227/13606,Yoga & Rusie 恭,〒577-0056 大阪府東大阪市長堂１−１９−２ 佐藤ユリバレエスクール,090-8535-8183
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27219/13605,和泉・健康ヨガの会,〒594-0023 大阪府和泉市伯太町６−１−２０ ゆう・ゆうプラザ（人権文化センター）,090-9613-1990
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27106/13614,船場ヨガ部,〒550-0013 大阪府大阪市西区新町１−２−６ 日宝ニュー新町ビル2階,09074849713
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27141/13622,ミズノプレミアスクール大浜体育館,〒590-0974 大阪府堺市堺区大浜北町5-7-1,072-221-2080
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27103/13665,PLAヨガ,〒553-0001 大阪府大阪市福島区海老江2−1−31青山ビル7Ｆ,0120-50-3601
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27212/13675,ホットヨガスタジオパンテーラ,〒581-0834 大阪府八尾市萱振町1-74-1 松浦ﾋﾞﾙ3F,072-998-5550
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27123/13644,studio do-up,〒532-0024 大阪府大阪市淀川区十三本町１−２１−２０ アズ-ル十三５階,06-6390-1526
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27123/13581,なでしこ美塾Beauty Yogaクラス,〒532-0011 大阪府大阪市淀川区西中島6-5-4 サムティフェイム新大阪2-2702,06-4805-1661
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27205/13693,イルチブレインヨガ 千里山スタジオ,〒565-0851 大阪府吹田市千里山西5-9-29 Ｓ１ビル３Ｆ,06-6338-5111
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27215/13641,イルチブレインヨガ 寝屋川スタジオ,〒572-0838 大阪府寝屋川市八坂町１２−１３ 旭八坂ビル２階,072-821-0338
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27142/13623,ミズノスポーツスクール原池公園体育館,〒599-8267 大阪府堺市中区八田寺町320,072-278-1004
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27213/13707,ヨーガ・ディンジー生涯学習センター教室,〒598-0005 大阪府泉佐野市市場東１−２９５−１ 生涯学習センター,090-9613-1990
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27215/13704,ヨガスタジオ「MOCK-YOU」,〒572-0801 大阪府寝屋川市寝屋1-18,090-3969-8485
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27211/13299,日本活育協会Jスタジオ教室,〒567-0032 大阪府茨木市西駅前4 茨木ショップタウンB1F,080-3822-3167
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27219/13736,ＹＯＧＡの時間,〒594-0041 大阪府和泉市いぶき野町５丁目４−７ 和泉市シティープラザ（和室、運動室）,080-6122-2618
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27109/13795,COCO YOGA,〒543-0033 大阪府大阪市天王寺区堂ヶ芝1丁目５,090-5886-0743
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27220/13729,AIヨガサークル,〒562-0013 大阪府箕面市坊島4丁目5-20 みのおキューズモール WEST 2F,00000000000
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27127/13836,zen place yoga 梅田店,〒530-0001 大阪府大阪市北区梅田１−１２−１７ 梅田スクエアビルディングB２F・１０F,06-6346-3200
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27106/13866,COCO YOGA,〒550-0033 大阪府大阪市西区京町堀２−１３−５ プロト2ビル,090-5886-0743
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27227/13791,ココロシャンティ＊ヨーガクラブ(布施駅),〒577-0056 大阪府東大阪市長堂1-8-37 布施駅前夢広場サティ5階,06-6785-3597
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27128/13876,生活ヨガ研究所,〒540-0031 大阪府大阪市中央区北浜東1-29 北浜ビル2号館7階,06-6949-3553
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27227/13850,ＨＯＳ小阪フィットネスクラブ,〒577-0803 大阪府東大阪市下小阪２丁目11-1,0667225799
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27226/13899,BPSベーシック・ピラティス・スタジオ,〒583-0027 大阪府藤井寺市岡１−５−３５ スリーエイトビル３F,072-953-3299
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27109/13931,Yoga Studio FLARE PLUS（ヨガスタジオ フレアプラス）,〒543-0072 大阪府大阪市天王寺区生玉前町1-1 上本町ホールドビル5F,0120157208
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27146/13820,ヨガスタジオwaraku和樂,〒591-8023 大阪府堺市北区百舌鳥梅北町2丁53−12,072-2018024
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27209/13939,kulkul,〒570-0039 大阪府守口市橋波西の町2-12-7 ビル一階,06-6993-1233
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27127/13966,Studio Zest,〒530-0004 大阪府大阪市北区堂島浜1-4-27 堂島中町ビル2F,06-6136-3579
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27210/13979,Ｖｅ-Cure エイジレス・ボディメイキングスタジオ,〒573-0027 大阪府枚方市岡東町18-15 藤白・戎ビル地階１Ｆ,072-844-0404
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27106/14022,ヨーガスクール・カイラス大阪教室,〒542-0066 大阪府大阪市西区西区新町1-22-14,06-7182-2218
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27120/14048,ヨガスペースNatura,〒558-0013 大阪府大阪市住吉区我孫子東2-7-8 ふぁみーゆアビコ? 203号室,06-6690-0281
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27116/14137,セラピースペース KUu（クウ）,〒554-0034 大阪府大阪市生野区桃谷2-20-13 ハイツクレイン5F,06-6478-5087
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27127/14150,健康工房アジ庵,〒530-0028 大阪府大阪市北区万歳町３−１２ 萬栄ビル１階１０１号室,06-6314-3211
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27106/14059,ピラティスルーム☆新町,〒550-0013 大阪府大阪市西区新町４−８,080-3038-1247
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27212/14195,八尾文化教室,〒581-0074 大阪府八尾市栄町２丁目１−３ 長井医院敷地内,072-997-4646
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27119/14196,yoga space ARATI(ヨガ スペース アラティ),〒545-0014 大阪府大阪市阿倍野区昭和町／駒川／日がス住吉会館,080-5715-8703
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27211/14166,ラック・ルーシー：タイ式ヨガルーシーダットン教室,〒567-0012 大阪府茨木市東太田２丁目,090-7112-4604
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27109/14100,Dance Studio Fine,〒543-0041 大阪府大阪市天王寺区真法院町17番24 真法院ビル4Ｆ,06-6773-9633
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27146/14070,SLCAダイエット＆ヨガスタジオ,〒591-8032 大阪府堺市北区百舌鳥梅町3-9-8 プチシュバル２F,072-293-8706
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27206/14102,石井ヨガスクール,〒595-0023 大阪府泉大津市豊中町１−８−１３,0725-33-7627
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27126/14225,晴ル蒔※ヨガ,〒547-0027 大阪府大阪市平野区喜連,090-7366-9354
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27202/14202,FC岸和田ヨガクラブ,〒596-0034 大阪府岸和田市春木本町2-13 FC岸和田ビル２階,0724579035
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27141/14230,阿免寺ヨガ教室,〒590-0957 大阪府堺市堺区中之町西２−２−２５ 浄土宗阿免寺内,072-233-3212
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27109/14231,ボディメイクスタジオGiNA（ジーナ）,〒543-0001 大阪府大阪市天王寺区上本町6-9-21 フュージョンプラスビル6F,06-6776-7933
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27128/14233,Yoga Garden Place,〒543-0018 大阪府大阪市中央区大阪市中央区谷町7丁目2-2 Studio AlSur．第２スタジオ,090-8367-7039
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27118/14309,美・BODY・ヨガ Venus,〒536-0005 大阪府大阪市城東区中央1-8-24 東洋プラザ蒲生708号室,080-5908-0762
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27141/14320,TRUE Entertainment Studio,〒590-0940 大阪府堺市堺区車之町西２−２−５ ロイヤルコートビル３階ーC,080-6203-5789
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27127/14330,oesy,〒531-0072 大阪府大阪市北区大阪市北区豊崎４−１２−１７ ナカジマビル２F Studio bijou-myyスタジオビジュミー,080-4304-8108
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27219/14248,Lysmoon..,〒594-0042 大阪府和泉市箕形町,09056554358
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27128/14357,chouchou esthetique&yoga,〒541-0044 大阪府大阪市中央区伏見町2丁目6-2 ネット伏見町401号室,06-6228-1021
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27127/14376,サザンフォレストダンススタジオ,〒530-0047 大阪府大阪市北区西天満3-6-21プロパレス西天満3階 サザンフォレストダンススタジオ,06-4709-0777
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27227/14345,宝持会総合健康づくりセンターHolly EIWA(ﾊﾘｰｴｲﾜ）,〒577-0809 大阪府東大阪市永和2-1-30,06-6722-6516
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27115/14308,大阪市生涯学習東成教室,〒537-0022 大阪府大阪市東成区中本4-2-32 多目的室,06-6947-8554
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27107/14395,スタジオOSORA,〒552-0003 大阪府大阪市港区磯路２−１６−８ モリハイツ５０３号,050-5532-3800
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27127/14368,Soula,〒531-0072 大阪府大阪市北区豊崎2−8−11−902 コープジャペン,080-1457-9455
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27127/14399,Tonic Room Umeda,〒530-0015 大阪府大阪市北区中崎西,090-3485-8653
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27107/14240,大阪弁天町のヨガスクールQooYoga,〒537-0013 大阪府大阪市港区波除5-4-20,080-1526-8204
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27202/14454,yogaのじかん（東岸和田駅前クラス）,〒596-0014 大阪府岸和田市岸和田市,090-2701-4691
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27207/14440,ヨガスタジオアムリタ,〒569-1031 大阪府高槻市真上町6丁目29-17,080-4023-7447
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27203/14545,FRAU YOGA（フラウヨガ）,〒560-0046 大阪府豊中市千里園、北桜塚,090-1441-0159
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27128/14547,PLAYOGA長堀橋クラス,〒542-0081 大阪府大阪市中央区南船場2-4-19 大和ビル16号館7F,0120-50-3601
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27119/14544,ストレッチヨーガクラブ＝阿倍野クラス＝,〒545-0052 大阪府大阪市阿倍野区阿倍野筋３丁目−２−１０ カルチャールーム３０３,090-3655-8043
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27107/14567,セラピーアーツ,〒552-0001 大阪府大阪市港区波除6丁目5-16,06-7493-0523
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27219/14573,トラディショナルヨガ・和泉中央,〒594-1111 大阪府和泉市光明台1-9-4（事務所）,080-9472-3036
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27111/14497,ALBATROSSBODY−MAKESTUDIO,〒556-0015 大阪府大阪市浪速区敷津西２−１−１２ YKビル４階,06-6632-6780
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27146/14450,Fleur de Lotus 〜フルール・ド・ロータス〜,〒591-8025 大阪府堺市北区長曽根町１１７９−５ 長尾公民館2F,090-1480-9999
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27146/14579,シャンティ＠ヨガオフィス,〒591-8021 大阪府堺市北区新金岡町５−８−１０８,072-252-3966
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27127/14597,ネリマサロン,〒530-0005 大阪府大阪市北区中之島4-2-1 ライオンズマンション中之島203号室,080-2442-4068
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27213/14560,ストレッチヨーガクラブ＝泉佐野クラス＝,〒598-0005 大阪府泉佐野市市場東１丁目295-1 泉佐野市立生涯学習センター,090-3655-8043
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27144/14651,ＦＳアカデミー,〒593-8302 大阪府堺市西区北条町1丁8-7,072-201-0552
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27111/14646,Casa de ikoi YOGA,〒556-0014 大阪府大阪市浪速区大国１−７−１５,080-3813-0303
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27203/14689,T&M 教育センターヨガ,〒560-0032 大阪府豊中市蛍池東町２−６−２―３階,560-0032
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27202/14653,ムーヴ・ライク・フローイング,〒596-0004 大阪府岸和田市荒木町1-12-1 医療法人橋間診療所2階、3階,072-443-1133
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27128/14633,プレマサットサンガヨーガスタジオ,〒542-0012 大阪府大阪市中央区谷町6丁目3-16 三幸ビル5F,06-6763-0127
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27111/14685,イルチブレインヨガ難波スタジオ,〒556-0011 大阪府大阪市浪速区難波中2−2−20 辻村ビル４階,06-6646-5855
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27106/14710,Soul Yoga Studio,〒550-0003 大阪府大阪市西区京町堀2-2-11 立誠社ビル3階302,090-3034-8960
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27221/14697,YOU ヨガ国分教室,〒582-0021 大阪府柏原市国分本町７−４−７８ 国分東コミュニテイ会館,090-2280-0630
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27127/14705,ぷららクラブ,〒530-0033 大阪府大阪市北区池田町3-1 ぷららてんま2階,06-6881-5517
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27221/14577,akasha yoga アーカーシャヨガ,〒582-8555 大阪府柏原市安堂町1-60 リビエールホール,-
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27111/14738,KuLaSu seasonなんばパークス産経学園,〒556-0011 大阪府大阪市浪速区難波中2-10-70 なんばパークス５Ｆ,06-6641-4880
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27227/14711,YOU ヨガ花園教室,〒578-0937 大阪府東大阪市花園本町２−９−２６ 花園本町会館,090-2280-0630
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27118/14744,ヨガ＆ピラティススタジオLUMIERE,〒536-0005 大阪府大阪市城東区中央１丁目１３−８ Ｍ＋ＦＬＡＴＳ４１２,070-6927-7833
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27106/14722,Riroa's Beauty 【リロアズ ビューティー】,〒550-0002 大阪府大阪市西区江戸堀1丁目8-20 カドマルビル3F,06-6131-4658
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27230/14804,"YOGA samgha ""GAJA""",〒576-0053 大阪府交野市郡津4-34-1 Hale Lani 2階,08038130935
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27143/14830,神社でヒーリングヨガ<雫>,〒599-8112 大阪府堺市東区原寺７５−１ 萩原神社参集殿,090-2013-5583
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27144/14789,おおとりアカデミーヨガ教室,〒593-8324 大阪府堺市西区鳳東町７−７３３ おおとりウイングス２階,072-275-0700
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27127/14484,親子ヨガ教室いまここ,〒530-0043 大阪府大阪市北区天満2-6-3 コープ野村天満橋集会室,08061343189
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27203/14776,Mina music studio YOGA,〒560-0021 大阪府豊中市本町１−７−１ 蝶六ビル５階,090-3275-6720
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27210/14808,N's Yoga,〒573-0032 大阪府枚方市東田宮1-4-5（2F）,000-000-0000
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27203/14943,zen place pilates 千里中央店,〒560-0082 大阪府豊中市新千里東町一丁目4番2号 千里ライフサイエンスセンタービル ２F,06-6873-2380
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27127/14947,Yoga mitra中崎町教室,〒530-0015 大阪府大阪市北区中崎西4-1-20 つどい場みとら,06-6245-5996
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27128/14874,yoga & rental studio LOTUS SPACE,〒540-0003 大阪府大阪市中央区森ノ宮中央1-18-15 中村ビル１F,090-6669-8120
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27121/14913,アサナアサナ,〒546-0042 大阪府大阪市東住吉区南田辺1-10-32 南田辺会館,090-4493-0759
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27204/15004,汐田靖子のヨガ 池田教室,〒563-0055 大阪府池田市菅原町3-1 ステーションNビルB1,090-9981-9338
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27205/15083,円満寺 de ヨガ,〒574-0011 大阪府吹田市元町28-13 常光円満寺,0728766780
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27116/15128,Little Lotus,〒544-0034 大阪府大阪市生野区桃谷1-12-16 桃谷STUDIO,090-5882-5672
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27205/14807,ジークレフダンススタジオ,〒565-0851 大阪府吹田市千里山西１ー４０海原ビル三階 海原ビル三階,06-6385-1290
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27220/14910,ｋａｍａｌａｙｏｇａ,〒562-0027 大阪府箕面市石丸2-4-15 灯ろうの家,090-6543-7575
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27122/15171,Minori Yoga,〒557-0012 大阪府大阪市西成区聖天下 2-9-13,06-6661-0755
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27204/15162,YOGA salon CLEAR,〒563-0058 大阪府池田市栄本町8-15,09085725788
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27127/15023,ホットヨガスタジオ ビープラス梅田店,〒530-0051 大阪府大阪市北区太融寺町8-8 日進ビル2階,06-6316-1104
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27204/15178,アーユルビューティSACHISTYLE,〒563-0041 大阪府池田市満寿美町2-7 矢野池田駅前ビル308,072-737-6696
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27127/15262,ＹＯＧＡＳＴＵＤＩＯＭＡＨＡＮＡ,〒530-0012 大阪府大阪市北区芝田2-3-14 日生ビル３階,06-6359-0019
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27113/15281,PLAYOGA西淀川クラス,〒555-0013 大阪府大阪市西淀川区千舟３丁目４−３ 千船会館,0120-50-3601
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27128/15225,zen place strong 大阪,〒541-0053 大阪府大阪市中央区本町2-3-4 アソルティ本町ビル３F,06-4963-2414
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27214/15197,ｎｉｋｏＹＯＧＡ,〒584-0083 大阪府富田林市向陽台３丁目１−１ エコールロゼショッピングセンター,080-5112-3806
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27114/15312,YOGA SANSAR（ヨーガサンサール）,〒533-0014 大阪府大阪市東淀川区豊新,06-6195-7789
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27104/15341,結＆月〜ムスビツキ・happyヨガin大阪〜,〒554-0001 大阪府大阪市此花区高見,080-1878-6705
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27120/15336,スタジオパップヨガ教室,〒558-0004 大阪府大阪市住吉区長居東４−１３−２０ メゾンよしの２０３,06-7892-7714
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27128/15328,Awake,〒541-0052 大阪府大阪市中央区安土町3−4−14 マツダビル6階,0120311716
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27107/15355,弁天町YOGA STUDIO OSAKA,〒552-0003 大阪府大阪市港区市岡元町3-6-14 日新ビル４階,080-3580-4368
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27203/15342,Hot yogaブレス,〒560-0033 大阪府豊中市蛍池中町1-5-18 メゾン豊中パート15,090-4286-5587
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27106/15310,アンヤダルヨガ,〒550-0012 大阪府大阪市西区立売堀４−７−２４ 五葉阿波座ビル５０５,090-9058-3522
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27205/15366,YOGA arc(江坂・豊津),〒564-0072 大阪府吹田市垂水町１−２８−３１ 豊一市民センター,080-4067-2489
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27227/15433,ヨガスタジオシャンティ,〒577-0841 大阪府東大阪市足代1-14-3 二条ビル２０６,06-6726-3080
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27128/15383,zen place pilates 心斎橋店,〒542-0086 大阪府大阪市中央区西心斎橋1-4-5 御堂筋ﾋﾞﾙﾃﾞｨﾝｸﾞ8F,06-4708-6160
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27128/15372,zen place yoga 心斎橋店,〒542-0086 大阪府大阪市中央区西心斎橋1-4-5 御堂筋ビルディング8F,06-4708-6150
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27120/15437,オリジナルインディアンYOGA,〒558-0011 大阪府大阪市住吉区苅田,080-6187-0404
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27122/15115,からだ改善スタジオ 笑顔工房ふれ〜る,〒557-0033 大阪府大阪市西成区梅南1-8-8エスビーモータープール内,090-1133-0025
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27217/15435,よがこべや〜yogaccoroom〜,〒580-0032 大阪府松原市天美東7-1-20 ロイヤルパレ天美２Ｆ,09037232866
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27119/15443,ヨガフロー,〒545-0052 大阪府大阪市阿倍野区倍野筋２−４−４５,080-3812-2779
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27141/15452,アウェアネスサポート綾ノ町,〒590-0018 大阪府堺市堺区柳之町西１−３−１９ 堺市立青少年センター,09073598833
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27143/15463,アウェアネスサポート初芝,〒599-8114 大阪府堺市東区日置荘西町4-10-21,09073598833
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27128/15514,ヨガ プリヴェ,〒540-0026 大阪府大阪市中央区内本町2-1-2,078-798-5938
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27141/15524,ai-oneness,〒590-0944 大阪府堺市堺区櫛屋町東1-1-1 マルニシビル5F,090-3714-2614
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27128/15522,YOGA MARU MIDORI（ヨガ マルミドリ）,〒540-0019 大阪府大阪市中央区和泉町1-3-3 3F,06-6926-4116
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27119/15129,Attain-Yoga Studio OASIS鶴ヶ丘,〒545-0015 大阪府大阪市阿倍野区西田辺町2丁目4-1 東急スポーツOASIS 鶴ヶ丘店内,06-4700-0017
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27120/15028,ゆる〜りヨガｔｏｍｏｒｒｏｗ,〒558-0054 大阪府大阪市住吉区帝塚山東,1234-5678
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27220/15508,'A'ALA YOGA HAWAII×OSAKA,〒562-0041 大阪府箕面市桜 6-3-22,08047063986
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27128/15456,studio ZERO（スタジオ ゼロ）,〒541-0056 大阪府大阪市中央区久太郎町4-2-3,06-6531-1555
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27123/15548,CORE STUDIO,〒532-0011 大阪府大阪市淀川区西中島3-18-21 NLC新大阪18号館3F,080-4010-8946
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27218/15549,YOGA STUDIO ARYA,〒574-0046 大阪府大東市赤井1丁目3-18 白井ビル3階,090-3942-3966
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27204/15550,Ａｒｔ ｓｐａｃｅ ＺＡＮ -斬-,〒563-0032 大阪府池田市石橋1-8-15,090-9282-2012
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27106/15569,PLAYOGA北堀江クラス,〒550-0014 大阪府大阪市西区北堀江1-1-27 イマイビル3階,0120-50-3601
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27203/15556,zen place yoga 千里中央店,〒560-0082 大阪府豊中市新千里東町1-4-2 千里ライフサイエンスセンタービル2F,06-6155-3636
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27220/15702,Maya Yoga & Healing Salon,〒562-0013 大阪府箕面市坊島4-19-36,090-6237-1958
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27128/15583,Kamali Yoga Lesson,〒542-0066 大阪府大阪市中央区瓦屋町2丁目16−4 荒川ビル2F,06-6761-7102
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27118/15778,木造りヨーガ楽習室,〒536-0008 大阪府大阪市城東区関目2-12-19,090-7493-2173
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27230/15787,スタジオ オンブラージュ,〒576-0033 大阪府交野市私市4-17-3 スタジオ オンブラージュ,072-894-2332
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27128/15588,トータルボディエンタテイメントスタジオclass one,〒541-0047 大阪府大阪市中央区淡路町3-2-13 ZeLKOVAビル6F,06-6227-8675
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27205/15791,YOGA arc（南千里教室）,〒565-0862 大阪府吹田市雲台1丁目2番1号千里ニュータウンプラザ内8階 千里ニュータウンプラザ内8階,080-4067-2489
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27205/15816,常光円満寺寺ヨガ,〒564-0031 大阪府吹田市元町28-13 常光円満寺,06-6381-0182
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27127/15628,YOGA arc（メンズヨガ教室）,〒565-0821 大阪府大阪市北区扇町2-1-27 北区区民センター,080-4067-2489
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27128/15866,GOLDIA（ゴルディア）,〒542-0076 大阪府大阪市中央区1丁目 ナンバヒップス,06-6212-3312
大阪,https://www.yogaroom.jp/studio/kinki/osaka/27128/15875,ヴァイクンタヨガ大阪・日本橋店,〒542-0072 大阪府大阪市中央区高津３丁目２−３ 柴田ビルディング２階,06-4395-5090
